id,z
4ac19fb269,306
1825fadf99,157
f59821d067,305
5b435fad9d,503
e340e7bfca,783
2ffea0c397,429
6cf284fb9e,600
d0244d6c38,51
cffbfab33b,755
e82421363e,68
9090f8f97b,253
778a92f420,476
57e394bc67,765
1efe1909ed,143
8d89d465fc,529
211fc910da,336
b12a5a2b61,475
28948eeb9c,306
28f6f52c8f,317
211eb21702,188
4ee5d2c629,421
fe9e558605,535
ac1ea6faa4,635
380ff30e30,892
99d7f0c538,500
c3589905df,236
16e308dbc3,313
48bb098115,649
07ac7e530f,638
6c4568e51c,364
2f3eff4192,262
9b09626522,722
691dc0bc42,453
e875c9a960,576
25d24d4554,587
64baad8029,791
39a05bf91f,749
2787bfe603,832
a849a4e373,480
4ed12ec89a,526
e7ee2c6dce,669
3480629331,423
2c45b152f1,312
6b2f7ba83d,518
4ad8a63538,82
de091953f9,694
04e7e791e2,391
2d3c0a68f9,623
fa92bed2b1,810
eabe9337a9,540
c385af3da9,270
6dfaae4996,424
730eee262c,362
81d37cb5fd,321
efbfde4930,649
a9a9fb1747,369
1263576548,398
ff9b7d0d2e,332
f4784e4f1f,172
290e9d9748,784
368767c9fd,261
8b09c914be,590
91dfba8133,610
a88dd59036,535
46b7364b81,451
68a2df3195,555
73a2f6fb22,642
3c2f5ba174,537
9fff0319cd,490
6cf6889e33,784
de7202d286,518
9f96821d81,600
b3ad13d9e9,131
b9614348f4,429
36aa21019e,482
ac412e6d55,555
24cb80b5da,467
e98557c9f3,492
99909324ed,67
c023a62b96,819
1b61e02423,548
5edca1bb89,368
c29c36a1e8,432
5378360450,466
ed46821aa5,656
54dd074cd7,738
05be526826,308
f2259e86f4,381
0adb490de5,521
d289692ab8,321
c38e2a42e3,618
e3b1b48b5a,660
d97f94a2dd,659
691fec8ce2,434
0aabdb423e,806
930183efe5,489
f87154ea7b,460
8b5232fcfa,772
3dc4b77bb5,368
35ba6f2faf,596
34205cc12b,606
34bfcfa11b,367
9a4864ff06,551
acb95dd7c9,122
c4911615e1,98
3c10a71f62,328
d3be640ed4,359
9bc9c403e0,656
2bce09096c,338
bb6683a533,626
eeecc7ab39,499
e2063ce131,558
db1aa8e608,348
03c9b5ffe8,819
481ed855f2,551
12a953a079,121
1ee0d5b4d0,307
1c0b2ceb2f,71
8b5d38c547,574
7616ee06bd,389
16cebad726,476
c0a37fef54,850
e2d3957c95,579
e172f09faa,427
4766b51055,640
9b585a2ea0,743
3c1097c378,286
71d7482240,601
5ecf1f5cb4,273
65dc362682,934
44d745a704,307
ac03463615,548
c4b4099179,270
2067c20654,397
8174aba668,584
74d53a0d53,369
762f01c185,113
6dc7a51dd9,377
20ed65cbf8,134
063cf2a23a,335
0530b67189,437
f4e6928ad4,720
255e6ef6a9,947
04711cb760,721
d768234bb5,489
c353af5098,757
18ac660fbb,407
c82f7676ac,414
51d1696054,687
60584b31d8,227
cabe5c94b2,304
c4ee594685,296
2fe4adfd48,813
c7c3a8a806,532
52ac7bb4c1,400
4329ab8cf6,260
1d9bc2591e,594
7e7276d088,491
d7f48d294e,629
0df375dc9c,746
7633c6bb70,455
8a2dc90df5,198
abb1521de8,638
e0751c41fd,582
48b63017da,844
d2f131dba8,848
f26e6cffd6,182
c5a9c13a77,638
1a8a17f220,120
3ee87f1ea6,219
3b2f902ec6,858
e2810cc777,810
306e6e7743,508
a9ab1afe01,256
e6e3e58c43,448
22398d77b8,560
b2958f2747,821
48d81e93d9,221
891fa63295,769
1e4c96a9cd,562
b221ece24b,529
3984ed8d4e,392
6457057cec,675
