id,fold
e3493e23f0,0
f2fd5c81ac,1
52f369a734,2
c8cc1a4dd3,3
21beba74c7,4
1915af8856,0
c329b6d198,1
4f5a6f8c74,2
74a066b134,3
31f3ed6cb1,4
6e55491120,0
715df66304,1
d8e7f62b4e,2
e18e04a6ff,3
d0244d6c38,4
8cb2bbf1a8,0
5850ff1f52,1
75f0269699,2
7f841928bb,3
96c83b6822,4
0be5323c3b,0
1409ddabbf,1
f7ed9b7ab7,2
f3bf3050d0,3
92a2165923,4
ac42154416,0
a31e485287,1
432f07b09e,2
5aa0015d15,3
ad2113ea1c,4
4303cf97d3,0
b11110b854,1
e54d72e6b7,2
b8d01a893a,3
68a1443ac6,4
233ef1fa32,0
ade51acc52,1
ec1bd0c46a,2
988251c854,3
3fe3373b67,4
a3e0a0c779,0
fdec2622ca,1
5ae916d52c,2
9f5029183b,3
457c69bcc8,4
c54981fe30,0
923aca4789,1
f63f03c926,2
b5dd684e36,3
df0027e3ab,4
6f79e6d54b,0
1e10c8b214,1
5af7237d5c,2
1557139238,3
d9377ce4f8,4
b3459251e5,0
4f18b39baa,1
2567b0c9de,2
f3b9a8601b,3
e86a7ecaa5,4
0b9981aba1,0
71e937b285,1
4f29c4cd04,2
5e008b90b6,3
5d4578efd7,4
7d2a057276,0
ad91e70d5c,1
de87d19851,2
e91e8917f7,3
335586ece3,4
b72181a9d5,0
2cc9b18030,1
1f24885947,2
20bdf88bee,3
3ab3158a27,4
8c4081751a,0
0bda89116e,1
1bd9b1a1c8,2
e67c706413,3
897d7e821c,4
9d96a157ca,0
a282e85e8d,1
e576adfb4f,2
48a6b2914d,3
0fcf26daaf,4
80bdc2584b,0
b69229dd1a,1
dc534f1e28,2
eab589e1f2,3
24a18f95ed,4
dba4475686,0
022b1b01be,1
37ab36b8b8,2
df4991a4c3,3
ea3b072e78,4
7f1c1802d4,0
80444c3dab,1
4a96727bdf,2
706321cca9,3
ea6dfe38ae,4
0e3a142be1,0
b5f2602f5b,1
6c53696981,2
571e7f5a50,3
22bc698c3f,4
49174ccdd9,0
072bfb6a9c,1
746f7f7f27,2
1dac95d5b7,3
eb9afa8deb,4
afb3847686,0
c2cf683cdc,1
fe5625c304,2
1df8d91491,3
45b6634d07,4
6659f1e7e1,0
09dbb503a8,1
99909324ed,2
bc3156b1e4,3
3336643b56,4
65556f12d3,0
e16235fa5b,1
c28f0753df,2
46df24ee51,3
fadefe071c,4
04e5ecfbde,0
2f8b6beb17,1
4166f7db11,2
aa8daddd49,3
e82421363e,4
d666f65d34,0
485e869caf,1
40e3262fb1,2
70b96ce692,3
cee5f80b1c,4
ffb3e66bbe,0
d8d5895a6f,1
38cc48d708,2
2ca6256249,3
4b59ccd023,4
4b20e32091,0
e84940ac6a,1
9666274ded,2
6e28a340f7,3
4e70e4d96c,4
3c565576bb,0
dbcc1619f5,1
648ac9c05a,2
02677351df,3
c64b87ba5a,4
1c0b2ceb2f,0
4d3eeda971,1
97ff8aa3a0,2
fcf61d1883,3
0f19e90f78,4
5c0acc3f31,0
d2e14828d5,1
55d3fc0419,2
4c36178b41,3
8fe9c92090,4
162f55f72b,0
df5df272fb,1
1aaffdb790,2
d0e720b57b,3
27a79442e2,4
c88a511d91,0
44381a3f55,1
a562fff73f,2
9a48617407,3
2a0583533f,4
6a7d046783,0
c4b4370ea7,1
63a371159d,2
ed5d275ef1,3
bac92dee00,4
61493ca044,0
792cef86c2,1
1471bc7b6d,2
8ee20f502e,3
c1169d47ce,4
7aad507507,0
010082e36a,1
cc15d94784,2
f1f051d549,3
d18a64f984,4
39aa1f3a2b,0
d60db2ca4a,1
102a73cb82,2
8c1d0929a2,3
