"92d9119491","3284441946","c514a65854","e764e3ede0","5349da2c2d","e8f7ceaf00","8267c5f862"
"b2aa9c7f1c","cb88a4e70a","be565e046b","3b2e64b4bb","c41bf71d37","060d966da4","e6c62abf69"
"e414c58d11","616ef89f45","e2b680135b","8e0c252445","130229ec15","be74bf2e59",
"f145cf3eb1","01aa774656","3a35c0728f","186ec3704a","0c348fdf9d","8e2b00b033","34aec621f6"
"6d49d84013",,"fa461678e9","74d1d03fc3","4fd8abbdb5","c1494cafd8","3325f8af22"
"115623101a","37e8e0a012","2cb5045cba","5aa1bc199b","4aa6feb688","5125a5c599","a6c63420b2"
"f411b6b9c3","02999b160b","4fbda008c7","70ca23bd65","75fb042981","df64563d9e","934c53d70e"
"49d061af38","6bf6f7cd9d","2e1f0b7a74","34831dcd0c","517872435e","dcc130871b","b9bb1b7b3f"
"ad642c2161","571b14e631","9a5d8e5f37","9aa82de10d","a41339b815","b852505678","17972a6517"
"0f2b6a8586","f413fd0931","73acee452c","0a3b7696cf","a04d442538",,"de0d58d7b5"
"5be0000be2","81fde400a8","c08283e078","c63683e0af","766c55d886","343705e8fe","99ee31b5bc"
