"","left","right","up","down","id","is_train","is_vertical","mosaic_id","n_images"
"1","cd8ed0c05d","14ab406aff","","e34c1220b1","dd5a90cf89",1,1,1,96
"2","","88b8522325","","07244009e3","22a4bbce52",1,1,1,96
"3","22a4bbce52","cd8ed0c05d","","a0b00e7922","88b8522325",1,1,1,96
"4","88b8522325","dd5a90cf89","","fb903c3b68","cd8ed0c05d",1,1,1,96
"5","fb903c3b68","6e9aceff2f","dd5a90cf89","c7a2535ee6","e34c1220b1",1,1,1,96
"6","cda102a81b","60373566f9","e34c1220b1","2d777bcac5","c7a2535ee6",1,1,1,96
"7","7d187bf4bb","2da79e62f9","c7a2535ee6","792b1ff712","2d777bcac5",1,1,1,96
"8","bfbb9b9149","96f700aec5","2d777bcac5","128d07c753","792b1ff712",1,1,1,96
"9","53d4c8a52c","c81e790680","792b1ff712","","128d07c753",1,1,1,96
"10","13be34d712","a0b00e7922","22a4bbce52","7c374bd2cc","07244009e3",1,1,1,96
"11","07244009e3","fb903c3b68","88b8522325","824e666e6f","a0b00e7922",1,1,1,96
"12","a0b00e7922","e34c1220b1","cd8ed0c05d","cda102a81b","fb903c3b68",1,1,1,96
"13","","c62cffd089","43addb85a4","","fa92bed2b1",1,1,1,96
"14","fa92bed2b1","7c374bd2cc","13be34d712","147ec91542","c62cffd089",1,1,1,96
"15","c62cffd089","824e666e6f","07244009e3","","7c374bd2cc",1,1,1,96
"16","7c374bd2cc","cda102a81b","a0b00e7922","2d4e7a937b","824e666e6f",1,1,1,96
"17","824e666e6f","c7a2535ee6","fb903c3b68","7d187bf4bb","cda102a81b",1,1,1,96
"18","af7d70119d","bfbb9b9149","2d4e7a937b","6c25735f24","b05514e5fe",1,1,1,96
"19","b05514e5fe","792b1ff712","7d187bf4bb","53d4c8a52c","bfbb9b9149",1,1,1,96
"20","128d07c753","173073f1c8","96f700aec5","","c81e790680",1,1,1,96
"21","c81e790680","d69d9cf365","8891f0ddcc","","173073f1c8",1,1,1,96
"22","173073f1c8","833ff7ed7e","ed5f2675bf","","d69d9cf365",1,1,1,96
"23","d69d9cf365","88bacbc4b9","c2973c16f1","","833ff7ed7e",1,1,1,96
"24","","7d187bf4bb","824e666e6f","b05514e5fe","2d4e7a937b",1,1,1,96
"25","b69dd4ba7a","53d4c8a52c","b05514e5fe","","6c25735f24",1,1,1,96
"26","","13be34d712","","fa92bed2b1","43addb85a4",1,1,1,96
"27","43addb85a4","07244009e3","","c62cffd089","13be34d712",1,1,1,96
"28","","","c62cffd089","","147ec91542",1,1,1,96
"29","2d4e7a937b","2d777bcac5","cda102a81b","bfbb9b9149","7d187bf4bb",1,1,1,96
"30","6c25735f24","128d07c753","bfbb9b9149","","53d4c8a52c",1,1,1,96
"31","dd5a90cf89","d53dabc268","","6e9aceff2f","14ab406aff",1,1,1,96
"32","e34c1220b1","a2ad71b576","14ab406aff","60373566f9","6e9aceff2f",1,1,1,96
"33","c7a2535ee6","450715077f","6e9aceff2f","2da79e62f9","60373566f9",1,1,1,96
"34","2d777bcac5","abbc5e8ba1","60373566f9","96f700aec5","2da79e62f9",1,1,1,96
"35","792b1ff712","8891f0ddcc","2da79e62f9","c81e790680","96f700aec5",1,1,1,96
